acao_id,titulo,entidade_id,entidade_nome,area,data_hora,duracao_horas,localizacao,vagas,estado,metrica_impacto
A001,Tutoria de Matemática no Bairro,E001,Núcleo de Engenharia Solidária,educação,2025-10-12 14:30,3,externo,12,concluída,82
A002,Oficina de Literacia Digital para Séniores,E005,ONG Bairro Aberto,inclusão,2025-10-25 10:00,4,externo,10,concluída,88
A003,Campanha de Recolha de Alimentos de Outono,E013,Programa Universidade Sem Fome,alimentação,2025-11-08 09:00,5,campus,18,concluída,79
A004,Limpeza Ribeirinha do Leça,E002,Associação Académica Verde,ambiente,2025-11-15 08:30,4,externo,20,concluída,90
A005,Feira de Ciência Cidadã no Campus,E012,Centro de Ciência Cidadã,tecnologia,2025-11-28 13:00,6,campus,16,concluída,84
A006,Apoio ao Estudo de Programação,E008,Faculdade de Engenharia,tecnologia,2025-12-03 17:00,2,online,14,concluída,76
A007,Workshop de CV e LinkedIn Solidário,E014,Rede Alumni Mentores,educação,2025-12-10 18:30,2,online,25,concluída,73
A008,Visita Cultural Inclusiva ao Museu,E011,Museu e Cultura Viva,cultura,2025-12-14 11:00,3,externo,12,concluída,69
A009,Banco de Sangue Universitário,E004,Gabinete de Saúde no Campus,saúde,2026-01-07 09:30,5,campus,15,concluída,87
A010,Mentoria para Caloiros Internacionais,E014,Rede Alumni Mentores,educação,2026-01-16 16:00,3,online,20,concluída,85
A011,Hackathon Dados para o Bem,E008,Faculdade de Engenharia,tecnologia,2026-01-24 09:00,8,campus,30,concluída,92
A012,Plantação Participativa de Árvores,E002,Associação Académica Verde,ambiente,2026-02-01 09:00,4,externo,22,concluída,91
A013,Oficina de Primeiros Socorros,E004,Gabinete de Saúde no Campus,saúde,2026-02-07 14:00,3,campus,16,concluída,80
A014,Clube de Conversação Português,E009,Biblioteca Central,cultura,2026-02-12 17:30,2,campus,18,concluída,74
A015,Recolha de Material Escolar,E003,Serviço de Ação Social Universitária,inclusão,2026-02-20 10:00,4,campus,12,concluída,77
A016,Reforço Alimentar no Banco Local,E013,Programa Universidade Sem Fome,alimentação,2026-02-27 15:00,5,externo,15,concluída,86
A017,Mapeamento de Acessibilidade do Campus,E010,Clínica Jurídica Universitária,direitos,2026-03-25 14:00,4,campus,14,planeada,0
A018,Acompanhamento Digital a IPSS,E005,ONG Bairro Aberto,inclusão,2026-03-27 10:00,3,externo,10,planeada,0
A019,Feira de Voluntariado e ODS,E003,Serviço de Ação Social Universitária,inclusão,2026-04-02 11:00,6,campus,24,planeada,0
A020,Limpeza de Praia de Matosinhos,E006,ONG Mar Limpo,ambiente,2026-04-05 08:00,5,externo,28,planeada,0
A021,Tutoria Intensiva de Exames,E001,Núcleo de Engenharia Solidária,educação,2026-04-11 09:30,4,campus,18,planeada,0
A022,Apoio à Declaração de IRS Solidário,E010,Clínica Jurídica Universitária,direitos,2026-04-16 18:00,2,campus,10,planeada,0
A023,Open Day Ciência para Escolas,E007,Faculdade de Ciências,educação,2026-04-22 09:00,6,campus,20,planeada,0
A024,Corrida Solidária Campus em Movimento,E004,Gabinete de Saúde no Campus,saúde,2026-04-29 17:00,4,campus,30,planeada,0
A025,Sessão de Ciência Cidadã sobre Qualidade do Ar,E012,Centro de Ciência Cidadã,tecnologia,2026-05-06 18:00,3,online,22,planeada,0
A026,Oficina de Design para Campanhas Sociais,E011,Museu e Cultura Viva,cultura,2026-05-10 14:30,4,campus,15,planeada,0
A027,Hospital dos Bonecos,E004,Gabinete de Saúde no Campus,saúde,2026-05-14 09:00,5,campus,18,planeada,0
A028,Campanha de Recolha de Resíduos Eletrónicos,E002,Associação Académica Verde,ambiente,2026-05-21 10:00,4,campus,16,planeada,0
A029,Oficina de Robótica para Jovens,E008,Faculdade de Engenharia,tecnologia,2026-05-28 15:00,5,campus,14,cancelada,0
A030,Encontro Intergeracional de Memórias,E011,Museu e Cultura Viva,cultura,2026-06-04 15:00,3,externo,12,cancelada,0
